NIS-CODE;GEMEENTE;TOTAAL BEVOLKING
44001;AALTER;19860
44011;DEINZE;29724
44012;DE PINTE;10204
44013;DESTELBERGEN;17685
44019;EVERGEM;33692
44020;GAVERE;12529
44021;GENT;248242
44029;KNESSELARE;8216
44034;LOCHRISTI;21779
44036;LOVENDEGEM;9469
44040;MELLE;11016
44043;MERELBEKE;23505
44045;MOERBEKE;6162
44048;NAZARETH;11351
44049;NEVELE;11908
44052;OOSTERZELE;13420
44064;SINT-MARTENS-LATEM;8378
44072;WAARSCHOOT;7980
44073;WACHTEBEKE;7282
44080;ZOMERGEM;8214
44081;ZULTE;15288
45017;KRUISHOUTEM;8117
45035;OUDENAARDE;30248
45041;RONSE;25403
45057;ZINGEM;7307
45059;BRAKEL;14330
45060;KLUISBERGEN;6446
45061;WORTEGEM-PETEGEM;6275
45062;HOREBEKE;2058
45063;LIERDE;6542
45064;MAARKEDAL;6428
45065;ZWALM;8045
46003;BEVEREN;46752
46013;KRUIBEKE;16028
46014;LOKEREN;39882
46020;SINT-GILLIS-WAAS;18876
46021;SINT-NIKLAAS;72883
46024;STEKENE;17487
46025;TEMSE;28889
71002;AS;8004
71004;BERINGEN;43661
71011;DIEPENBEEK;18377
71016;GENK;65264
71017;GINGELOM;8245
71020;HALEN;9352
71022;HASSELT;74588
71024;HERK-DE-STAD;12316
71034;LEOPOLDSBURG;15172
71037;LUMMEN;14358
71045;NIEUWERKERKEN;6691
71047;OPGLABBEEK;10162
71053;SINT-TRUIDEN;39747
71057;TESSENDERLO;18107
71066;ZONHOVEN;20887
71067;ZUTENDAAL;7074
71069;HAM;10393
71070;HEUSDEN-ZOLDER;32003
72003;BOCHOLT;12729
72004;BREE;15379
72018;KINROOI;12252
72020;LOMMEL;33409
72021;MAASEIK;24828
72025;NEERPELT;16686
72029;OVERPELT;14400
72030;PEER;16194
72037;HAMONT-ACHEL;14225
72038;HECHTEL-EKSEL;11940
72039;HOUTHALEN-HELCHTEREN;30356
72040;MEEUWEN-GRUITRODE;12960
72041;DILSEN-STOKKEM;19947
73001;ALKEN;11315
73006;BILZEN;31358
73009;BORGLOON;10495
73022;HEERS;7103
73028;HERSTAPPE;87
73032;HOESELT;9588
73040;KORTESSEM;8400
73042;LANAKEN;25599
73066;RIEMST;16265
73083;TONGEREN;30557
73098;WELLEN;7405
73107;MAASMECHELEN;37369
73109;VOEREN;4157
21001;ANDERLECHT;111279
21002;OUDERGEM;31963
21003;SINT-AGATHA-BERCHEM;22931
21004;BRUSSEL;166497
21005;ETTERBEEK;45502
21006;EVERE;37009
21007;VORST;53312
21008;GANSHOREN;23383
21009;ELSENE;83425
21010;JETTE;48805
21011;KOEKELBERG;20661
21012;SINT-JANS-MOLENBEEK;93893
21013;SINT-GILLIS;49492
21014;SINT-JOOST-TEN-NODE;27134
21015;SCHAARBEEK;127747
21016;UKKEL;79610
21017;WATERMAAL-BOSVOORDE;24303
21018;SINT-LAMBRECHTS-WOLUWE;51871
21019;SINT-PIETERS-WOLUWE;40037
25005;BEAUVECHAIN;6824
25014;BRAINE-L'ALLEUD;38882
25015;BRAINE-LE-CHATEAU;9886
25018;CHAUMONT-GISTOUX;11601
25023;COURT-SAINT-ETIENNE;9946
25031;GENAPPE;15135
25037;GREZ-DOICEAU;12861
25043;INCOURT;4903
25044;ITTRE;6537
25048;JODOIGNE;13428
25050;LA HULPE;7479
25068;MONT-SAINT-GUIBERT;6912
25072;NIVELLES;26819
25084;PERWEZ;8249
25091;RIXENSART;21883
25105;TUBIZE;24108
25107;VILLERS-LA-VILLE;10231
25110;WATERLOO;29731
